edge_id,source_lemma,relation,target_lemma,source_options,target_options,selected_source_synset,selected_target_synset,decision,notes
drink|RelatedTo|milk,drink,RelatedTo,milk,beverage.n.01: any liquid suitable for drinking,milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
drip|MannerOf|descend,drip,MannerOf,descend,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,"descend.v.01: move downward and lower, but not necessarily all the way",,,pending,
drip|RelatedTo|drop,drip,RelatedTo,drop,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,dribble.v.02: let or cause to fall in drops,,,pending,
drip|Synonym|dribble,drip,Synonym,dribble,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,dribble.v.02: let or cause to fall in drops,,,pending,
drip|Synonym|drop,drip,Synonym,drop,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,dribble.v.02: let or cause to fall in drops,,,pending,
drop|RelatedTo|chest,drop,RelatedTo,chest,dribble.v.02: let or cause to fall in drops,breast.n.01: the front of the trunk from the neck to the abdomen || thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,,,pending,
drop|RelatedTo|drip,drop,RelatedTo,drip,dribble.v.02: let or cause to fall in drops,dribble.v.02: let or cause to fall in drops || drip.v.01: fall in drops,,,pending,
eatable|RelatedTo|food,eatable,RelatedTo,food,comestible.n.01: any substance that can be used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
eats|RelatedTo|food,eats,RelatedTo,food,chow.n.02: informal terms for a meal,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
edible|Synonym|food,edible,Synonym,food,comestible.n.01: any substance that can be used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
egg|IsA|food,egg,IsA,food,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
egg|RelatedTo|embryo,egg,RelatedTo,embryo,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,embryo.n.02: an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life,,,pending,
egg|RelatedTo|food,egg,RelatedTo,food,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
egg|RelatedTo|yolk,egg,RelatedTo,yolk,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,egg_yolk.n.01: the yellow spherical part of an egg that is surrounded by the albumen || yolk.n.02: nutritive material of an ovum stored for the nutrition of an embryo (especially the yellow mass of a bird or reptile egg),,,pending,
egg|UsedFor|food,egg,UsedFor,food,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
eggs|FormOf|egg,eggs,FormOf,egg,egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,,,pending,
eggs|IsA|food,eggs,IsA,food,egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
eggs|RelatedTo|egg,eggs,RelatedTo,egg,egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,,,pending,
eggs|Synonym|egg,eggs,Synonym,egg,egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,egg.n.01: animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds || egg.n.02: oval reproductive body of a fowl (especially a hen) used as food,,,pending,
elbow|RelatedTo|arm,elbow,RelatedTo,arm,elbow.n.04: the part of a sleeve that covers the elbow joint || elbow.n.05: the joint of a mammal or bird that corresponds to the human elbow,sleeve.n.01: the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,,,pending,
enlarge|MannerOf|increase,enlarge,MannerOf,increase,blow_up.v.02: make large || enlarge.v.01: make larger,increase.v.02: make bigger or more,,,pending,
enlarge|RelatedTo|extend,enlarge,RelatedTo,extend,blow_up.v.02: make large || enlarge.v.01: make larger,widen.v.04: extend in scope or range or area,,,pending,
enlarge|RelatedTo|increase,enlarge,RelatedTo,increase,blow_up.v.02: make large || enlarge.v.01: make larger,increase.v.02: make bigger or more,,,pending,
enlarge|RelatedTo|magnify,enlarge,RelatedTo,magnify,blow_up.v.02: make large || enlarge.v.01: make larger,blow_up.v.02: make large,,,pending,
enlarge|RelatedTo|widen,enlarge,RelatedTo,widen,blow_up.v.02: make large || enlarge.v.01: make larger,widen.v.04: extend in scope or range or area,,,pending,
estimable|RelatedTo|valuable,estimable,RelatedTo,valuable,estimable.a.01: deserving of respect or high regard || estimable.s.01: deserving of esteem and respect,valuable.a.01: having great material or monetary value especially for use or exchange,,,pending,
estimable|Synonym|respectable,estimable,Synonym,respectable,estimable.a.01: deserving of respect or high regard || estimable.s.01: deserving of esteem and respect,estimable.s.01: deserving of esteem and respect || respectable.a.01: characterized by socially or conventionally acceptable morals,,,pending,
exhale|Antonym|inhale,exhale,Antonym,inhale,exhale.v.01: expel air,inhale.v.01: draw deep into the lungs in by breathing || inhale.v.02: draw in (air),,,pending,
exhale|RelatedTo|inhale,exhale,RelatedTo,inhale,exhale.v.01: expel air,inhale.v.01: draw deep into the lungs in by breathing || inhale.v.02: draw in (air),,,pending,
extend|Synonym|enlarge,extend,Synonym,enlarge,widen.v.04: extend in scope or range or area,blow_up.v.02: make large || enlarge.v.01: make larger,,,pending,
extremity|DerivedFrom|extreme,extremity,DerivedFrom,extreme,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,extreme_point.n.01: the point located farthest from the middle of something,,,pending,
extremity|RelatedTo|extreme,extremity,RelatedTo,extreme,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,extreme_point.n.01: the point located farthest from the middle of something,,,pending,
extremity|Synonym|appendage,extremity,Synonym,appendage,extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,extremity.n.01: an external body part that projects from the body,,,pending,
fall|HasLastSubevent|land,fall,HasLastSubevent,land,"descend.v.01: move downward and lower, but not necessarily all the way",country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
fall|HasSubevent|land,fall,HasSubevent,land,"descend.v.01: move downward and lower, but not necessarily all the way",country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
fare|RelatedTo|food,fare,RelatedTo,food,fare.n.04: the food and drink that are regularly served or consumed,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
fat|RelatedTo|toe,fat,RelatedTo,toe,adipose_tissue.n.01: a kind of body tissue containing stored fat that serves as a source of energy; it also cushions and insulates vital organs,toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
finger|Antonym|toe,finger,Antonym,toe,finger.n.01: any of the terminal members of the hand (sometimes excepting the thumb),toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
finger|DistinctFrom|toe,finger,DistinctFrom,toe,finger.n.01: any of the terminal members of the hand (sometimes excepting the thumb),toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
finger|RelatedTo|extremity,finger,RelatedTo,extremity,finger.n.01: any of the terminal members of the hand (sometimes excepting the thumb),extremity.n.01: an external body part that projects from the body || extremity.n.04: the outermost or farthest region or point || extremity.n.05: that part of a limb that is farthest from the torso,,,pending,
finger|RelatedTo|toe,finger,RelatedTo,toe,finger.n.01: any of the terminal members of the hand (sometimes excepting the thumb),toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
finger|Synonym|toe,finger,Synonym,toe,finger.n.01: any of the terminal members of the hand (sometimes excepting the thumb),toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
fish|Desires|food,fish,Desires,food,fish.n.02: the flesh of fish used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
fish|RelatedTo|food,fish,RelatedTo,food,fish.n.02: the flesh of fish used as food,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
fondle|RelatedTo|pet,fondle,RelatedTo,pet,caress.v.01: touch or stroke lightly in a loving or endearing manner,"pet.v.01: stroke or caress gently || pet.v.02: stroke or caress in an erotic manner, as during lovemaking",,,pending,
food|AtLocation|can,food,AtLocation,can,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
food|AtLocation|stomach,food,AtLocation,stomach,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis,,,pending,
food|HasProperty|edible,food,HasProperty,edible,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,comestible.n.01: any substance that can be used as food,,,pending,
food|IsA|good,food,IsA,good,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
food|IsA|nourishment,food,IsA,nourishment,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,nutriment.n.01: a source of materials to nourish the body,,,pending,
food|IsA|solid,food,IsA,solid,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,upstanding.s.01: meriting respect or esteem,,,pending,
food|ReceivesAction|edible,food,ReceivesAction,edible,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,comestible.n.01: any substance that can be used as food,,,pending,
food|RelatedTo|meal,food,RelatedTo,meal,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,meal.n.01: the food served and eaten at one time,,,pending,
food|Synonym|aliment,food,Synonym,aliment,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,nutriment.n.01: a source of materials to nourish the body,,,pending,
food|Synonym|bread,food,Synonym,bread,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,bread.n.01: food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,,,pending,
food|Synonym|diet,food,Synonym,diet,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,diet.n.01: a prescribed selection of foods || diet.n.03: the usual food and drink consumed by an organism (person or animal),,,pending,
food|Synonym|fare,food,Synonym,fare,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,fare.n.04: the food and drink that are regularly served or consumed,,,pending,
food|Synonym|meat,food,Synonym,meat,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,meat.n.01: the flesh of animals (including fishes and birds and snails) used as food,,,pending,
food|Synonym|nourishment,food,Synonym,nourishment,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,nutriment.n.01: a source of materials to nourish the body,,,pending,
food|Synonym|pabulum,food,Synonym,pabulum,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,comestible.n.01: any substance that can be used as food,,,pending,
food|Synonym|provender,food,Synonym,provender,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,commissariat.n.01: a stock or supply of foods,,,pending,
food|Synonym|provisions,food,Synonym,provisions,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,commissariat.n.01: a stock or supply of foods,,,pending,
food|Synonym|sustenance,food,Synonym,sustenance,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,nutriment.n.01: a source of materials to nourish the body,,,pending,
food|Synonym|viands,food,Synonym,viands,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,commissariat.n.01: a stock or supply of foods,,,pending,
food|Synonym|victuals,food,Synonym,victuals,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,comestible.n.01: any substance that can be used as food || commissariat.n.01: a stock or supply of foods || nutriment.n.01: a source of materials to nourish the body,,,pending,
food|UsedFor|nourishment,food,UsedFor,nourishment,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,nutriment.n.01: a source of materials to nourish the body,,,pending,
food|UsedFor|sustenance,food,UsedFor,sustenance,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,nutriment.n.01: a source of materials to nourish the body,,,pending,
good|RelatedTo|competent,good,RelatedTo,competent,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,competent.a.01: properly or sufficiently qualified or capable or efficient,,,pending,
good|RelatedTo|edible,good,RelatedTo,edible,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,comestible.n.01: any substance that can be used as food,,,pending,
good|RelatedTo|moral,good,RelatedTo,moral,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,moral.a.01: concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles,,,pending,
good|RelatedTo|respectable,good,RelatedTo,respectable,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,estimable.s.01: deserving of esteem and respect || respectable.a.01: characterized by socially or conventionally acceptable morals,,,pending,
good|RelatedTo|righteous,good,RelatedTo,righteous,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,righteous.a.01: characterized by or proceeding from accepted standards of morality or justice; - James 5:16,,,pending,
good|RelatedTo|virtuous,good,RelatedTo,virtuous,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,virtuous.a.01: morally excellent,,,pending,
good|RelatedTo|worthy,good,RelatedTo,worthy,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,worthy.a.01: having worth or merit or value; being honorable or admirable,,,pending,
good|SimilarTo|complete,good,SimilarTo,complete,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,accomplished.s.01: highly skilled,,,pending,
good|SimilarTo|solid,good,SimilarTo,solid,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,upstanding.s.01: meriting respect or esteem,,,pending,
good|Synonym|accomplished,good,Synonym,accomplished,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,accomplished.s.01: highly skilled,,,pending,
good|Synonym|proficient,good,Synonym,proficient,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,adept.s.01: having or showing knowledge and skill and aptitude,,,pending,
good|Synonym|respectable,good,Synonym,respectable,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,estimable.s.01: deserving of esteem and respect || respectable.a.01: characterized by socially or conventionally acceptable morals,,,pending,
goody|DerivedFrom|good,goody,DerivedFrom,good,dainty.n.01: something considered choice to eat,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
goody|RelatedTo|good,goody,RelatedTo,good,dainty.n.01: something considered choice to eat,adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
grub|RelatedTo|caterpillar,grub,RelatedTo,caterpillar,chow.n.02: informal terms for a meal || grub.n.02: a soft thick wormlike larva of certain beetles and other insects,caterpillar.n.01: a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth,,,pending,
grub|RelatedTo|food,grub,RelatedTo,food,chow.n.02: informal terms for a meal || grub.n.02: a soft thick wormlike larva of certain beetles and other insects,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
grub|RelatedTo|larva,grub,RelatedTo,larva,chow.n.02: informal terms for a meal || grub.n.02: a soft thick wormlike larva of certain beetles and other insects,larva.n.01: the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose,,,pending,
grub|Synonym|chow,grub,Synonym,chow,chow.n.02: informal terms for a meal || grub.n.02: a soft thick wormlike larva of certain beetles and other insects,chow.n.02: informal terms for a meal,,,pending,
gusset|RelatedTo|elbow,gusset,RelatedTo,elbow,gusset.n.03: a piece of material used to strengthen or enlarge a garment,elbow.n.04: the part of a sleeve that covers the elbow joint || elbow.n.05: the joint of a mammal or bird that corresponds to the human elbow,,,pending,
gusset|RelatedTo|shoulder,gusset,RelatedTo,shoulder,gusset.n.03: a piece of material used to strengthen or enlarge a garment,shoulder.n.01: the part of the body between the neck and the upper arm || shoulder.n.03: a ball-and-socket joint between the head of the humerus and a cavity of the scapula || shoulder.n.04: the part of a garment that covers or fits over the shoulder,,,pending,
gut|RelatedTo|abdomen,gut,RelatedTo,abdomen,intestine.n.01: the part of the alimentary canal between the stomach and the anus,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
gut|RelatedTo|silkworm,gut,RelatedTo,silkworm,intestine.n.01: the part of the alimentary canal between the stomach and the anus,silkworm.n.01: the commercially bred hairless white caterpillar of the domestic silkworm moth which spins a cocoon that can be processed to yield silk fiber; the principal source of commercial silk || silkworm.n.02: larva of a saturniid moth; spins a large amount of strong silk in constructing its cocoon,,,pending,
gut|Synonym|abdomen,gut,Synonym,abdomen,intestine.n.01: the part of the alimentary canal between the stomach and the anus,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
hardware|RelatedTo|equipment,hardware,RelatedTo,equipment,hardware.n.01: major items of military weaponry (as tanks or missile) || hardware.n.02: instrumentalities (tools or implements) made of metal,equipment.n.01: an instrumentality needed for an undertaking or to perform a service,,,pending,
haunch|RelatedTo|buttocks,haunch,RelatedTo,buttocks,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
haunch|RelatedTo|food,haunch,RelatedTo,food,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
haunch|RelatedTo|hip,haunch,RelatedTo,hip,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,hip.n.01: either side of the body below the waist and above the thigh,,,pending,
haunch|RelatedTo|human,haunch,RelatedTo,human,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,"homo.n.02: any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",,,pending,
haunch|RelatedTo|loin,haunch,RelatedTo,loin,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,loin.n.02: either side of the backbone between the hipbone and the ribs in humans as well as quadrupeds,,,pending,
haunch|RelatedTo|quadruped,haunch,RelatedTo,quadruped,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,quadruped.n.01: an animal especially a mammal having four limbs specialized for walking,,,pending,
heartland|DerivedFrom|land,heartland,DerivedFrom,land,heartland.n.01: the central region of a country or continent; especially a region that is important to a country or to a culture,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
hindquarters|Synonym|backside,hindquarters,Synonym,backside,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
hindquarters|Synonym|buttocks,hindquarters,Synonym,buttocks,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
hindquarters|Synonym|posterior,hindquarters,Synonym,posterior,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
hindquarters|Synonym|rear,hindquarters,Synonym,rear,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
hindquarters|Synonym|rump,hindquarters,Synonym,rump,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,,,pending,
hindquarters|Synonym|tail,hindquarters,Synonym,tail,buttocks.n.01: the fleshy part of the human body that you sit on || hindquarters.n.02: the part of an animal that corresponds to the human buttocks,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
hip|SimilarTo|haunch,hip,SimilarTo,haunch,hip.n.01: either side of the body below the waist and above the thigh,haunch.n.01: the hip and buttock and upper thigh in human beings || haunch.n.02: the loin and leg of a quadruped,,,pending,
homo|RelatedTo|milk,homo,RelatedTo,milk,"homo.n.02: any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",milk.n.01: a white nutritious liquid secreted by mammals and used as food by human beings || milk.n.02: produced by mammary glands of female mammals for feeding their young,,,pending,
honey|IsA|food,honey,IsA,food,honey.n.01: a sweet yellow liquid produced by bees,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
honorable|RelatedTo|respectable,honorable,RelatedTo,respectable,estimable.s.01: deserving of esteem and respect,estimable.s.01: deserving of esteem and respect || respectable.a.01: characterized by socially or conventionally acceptable morals,,,pending,
honorable|Synonym|respectable,honorable,Synonym,respectable,estimable.s.01: deserving of esteem and respect,estimable.s.01: deserving of esteem and respect || respectable.a.01: characterized by socially or conventionally acceptable morals,,,pending,
hoof|RelatedTo|deer,hoof,RelatedTo,deer,hoof.n.01: the foot of an ungulate mammal || hoof.n.02: the horny covering of the end of the foot in ungulate mammals,deer.n.01: distinguished from Bovidae by the male's having solid deciduous antlers,,,pending,
hoof|RelatedTo|human,hoof,RelatedTo,human,hoof.n.01: the foot of an ungulate mammal || hoof.n.02: the horny covering of the end of the foot in ungulate mammals,"homo.n.02: any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",,,pending,
hoof|RelatedTo|ox,hoof,RelatedTo,ox,hoof.n.01: the foot of an ungulate mammal || hoof.n.02: the horny covering of the end of the foot in ungulate mammals,ox.n.01: an adult castrated bull of the genus Bos; especially Bos taurus,,,pending,
hoof|RelatedTo|toe,hoof,RelatedTo,toe,hoof.n.01: the foot of an ungulate mammal || hoof.n.02: the horny covering of the end of the foot in ungulate mammals,toe.n.01: one of the digits of the foot || toe.n.03: forepart of a hoof,,,pending,
hoof|RelatedTo|ungulate,hoof,RelatedTo,ungulate,hoof.n.01: the foot of an ungulate mammal || hoof.n.02: the horny covering of the end of the foot in ungulate mammals,ungulate.n.01: any of a number of mammals with hooves that are superficially similar but not necessarily closely related taxonomically,,,pending,
huff|RelatedTo|enlarge,huff,RelatedTo,enlarge,huff.v.01: inhale recreational drugs,blow_up.v.02: make large || enlarge.v.01: make larger,,,pending,
huff|RelatedTo|inhale,huff,RelatedTo,inhale,huff.v.01: inhale recreational drugs,inhale.v.01: draw deep into the lungs in by breathing || inhale.v.02: draw in (air),,,pending,
huff|Synonym|snort,huff,Synonym,snort,huff.v.01: inhale recreational drugs,huff.v.01: inhale recreational drugs || take_a_hit.v.01: inhale through the nose,,,pending,
human|HasProperty|good,human,HasProperty,good,"homo.n.02: any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",adept.s.01: having or showing knowledge and skill and aptitude || estimable.s.01: deserving of esteem and respect,,,pending,
hydrosphere|RelatedTo|land,hydrosphere,RelatedTo,land,hydrosphere.n.01: the watery layer of the earth's surface; includes water vapor,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
hypochondrium|RelatedTo|abdomen,hypochondrium,RelatedTo,abdomen,hypochondrium.n.01: the upper region of the abdomen just below the lowest ribs on either side of the epigastrium,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
ingredient|RelatedTo|food,ingredient,RelatedTo,food,ingredient.n.03: food that is a component of a mixture in cooking,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
inhale|Antonym|exhale,inhale,Antonym,exhale,inhale.v.01: draw deep into the lungs in by breathing || inhale.v.02: draw in (air),exhale.v.01: expel air,,,pending,
